"Year","Cancer Type","Geography","Sex","ASR (Europe)"
1994,"Bladder Cancer (C67)","UK","All",28.9522119109054
1995,"Bladder Cancer (C67)","UK","All",28.3958217803738
1996,"Bladder Cancer (C67)","UK","All",27.6301984202841
1997,"Bladder Cancer (C67)","UK","All",26.6982850578767
1998,"Bladder Cancer (C67)","UK","All",26.1754900570887
1999,"Bladder Cancer (C67)","UK","All",24.6124589898872
2000,"Bladder Cancer (C67)","UK","All",23.317447686576
2001,"Bladder Cancer (C67)","UK","All",21.6430841150249
2002,"Bladder Cancer (C67)","UK","All",21.2810347040348
2003,"Bladder Cancer (C67)","UK","All",20.679524548699
2004,"Bladder Cancer (C67)","UK","All",20.5805720175201
2005,"Bladder Cancer (C67)","UK","All",20.3928136557731
2006,"Bladder Cancer (C67)","UK","All",20.2266491985069
2007,"Bladder Cancer (C67)","UK","All",20.0197867544087
2008,"Bladder Cancer (C67)","UK","All",19.7622826796832
2009,"Bladder Cancer (C67)","UK","All",19.4576458376527
2010,"Bladder Cancer (C67)","UK","All",19.2072748626505
2011,"Bladder Cancer (C67)","UK","All",19.0174571799146
2012,"Bladder Cancer (C67)","UK","All",18.8990559089277
2013,"Bladder Cancer (C67)","UK","All",18.3918490190044
2014,"Bladder Cancer (C67)","UK","All",17.867943817767
2015,"Bladder Cancer (C67)","UK","All",17.34375417618
2016,"Bladder Cancer (C67)","UK","All",17.0714390591282
2017,"Bladder Cancer (C67)","UK","All",16.7863914302154
1994,"Brain","UK","All",13.9661142664872
1995,"Brain","UK","All",14.1436766727513
1996,"Brain","UK","All",14.4160464167575
1997,"Brain","UK","All",14.5918762661759
1998,"Brain","UK","All",14.7872703328929
1999,"Brain","UK","All",15.170583440592
2000,"Brain","UK","All",15.7733613986277
2001,"Brain","UK","All",16.2551921270572
2002,"Brain","UK","All",16.2517776182441
2003,"Brain","UK","All",16.3485244636072
2004,"Brain","UK","All",16.6411728399641
2005,"Brain","UK","All",17.0385053054126
2006,"Brain","UK","All",17.500912402766
2007,"Brain","UK","All",18.126095022339
2008,"Brain","UK","All",18.6404139866517
2009,"Brain","UK","All",18.8977079614849
2010,"Brain","UK","All",18.6730646267696
2011,"Brain","UK","All",18.8005516535938
2012,"Brain","UK","All",19.4020037040479
2013,"Brain","UK","All",20.0458456570176
2014,"Brain","UK","All",20.5848358561709
2015,"Brain","UK","All",20.5211514229249
2016,"Brain","UK","All",20.5244846601277
2017,"Brain","UK","All",20.1147112868528
1994,"Liver Cancer (C22)","UK","All",3.75897461279001
1995,"Liver Cancer (C22)","UK","All",3.92586738579848
1996,"Liver Cancer (C22)","UK","All",4.13146398587796
1997,"Liver Cancer (C22)","UK","All",4.42215530795259
1998,"Liver Cancer (C22)","UK","All",4.57441023131866
1999,"Liver Cancer (C22)","UK","All",4.81970495690273
2000,"Liver Cancer (C22)","UK","All",5.00275695327777
2001,"Liver Cancer (C22)","UK","All",5.26652589659486
2002,"Liver Cancer (C22)","UK","All",5.34229541141942
2003,"Liver Cancer (C22)","UK","All",5.54162020273666
2004,"Liver Cancer (C22)","UK","All",5.77563230750137
2005,"Liver Cancer (C22)","UK","All",6.20321497102582
2006,"Liver Cancer (C22)","UK","All",6.64598816901693
2007,"Liver Cancer (C22)","UK","All",6.97625851734763
2008,"Liver Cancer (C22)","UK","All",7.3390180303825
2009,"Liver Cancer (C22)","UK","All",7.7006358883347
2010,"Liver Cancer (C22)","UK","All",8.12183090750744
2011,"Liver Cancer (C22)","UK","All",8.58009211753657
2012,"Liver Cancer (C22)","UK","All",9.24417221781342
2013,"Liver Cancer (C22)","UK","All",9.75965121310893
2014,"Liver Cancer (C22)","UK","All",10.1097766443822
2015,"Liver Cancer (C22)","UK","All",10.2139216279091
2016,"Liver Cancer (C22)","UK","All",10.2702845388554
2017,"Liver Cancer (C22)","UK","All",10.2098205508335
1994,"Bladder Cancer (C67)","UK","Men",51.5403143001833
1995,"Bladder Cancer (C67)","UK","Men",50.4192941545333
1996,"Bladder Cancer (C67)","UK","Men",48.5629819926648
1997,"Bladder Cancer (C67)","UK","Men",46.8350096964113
1998,"Bladder Cancer (C67)","UK","Men",45.7093973869321
1999,"Bladder Cancer (C67)","UK","Men",42.9251964743428
2000,"Bladder Cancer (C67)","UK","Men",40.505730580526
2001,"Bladder Cancer (C67)","UK","Men",37.5485148185495
2002,"Bladder Cancer (C67)","UK","Men",36.7867786065115
2003,"Bladder Cancer (C67)","UK","Men",35.507530872146
2004,"Bladder Cancer (C67)","UK","Men",35.2118464176617
2005,"Bladder Cancer (C67)","UK","Men",34.770821464005
2006,"Bladder Cancer (C67)","UK","Men",34.4862740901978
2007,"Bladder Cancer (C67)","UK","Men",33.9819537438494
2008,"Bladder Cancer (C67)","UK","Men",33.5547729689921
2009,"Bladder Cancer (C67)","UK","Men",32.8491657117368
2010,"Bladder Cancer (C67)","UK","Men",32.225262301622
2011,"Bladder Cancer (C67)","UK","Men",31.7032377546601
